	accuracy	data_size	model
0	0.9612	2766	svc_count_vectorizer
1	0.9648	2766	lr_count_vectorizer
2	0.9503	2766	rf_count_vectorizer
3	0.9783	2766	svc_tfidf_vectorizer
4	0.9485	2766	lr_tfidf_vectorizer
5	0.9512	2766	rf_tfidf_vectorizer
6	0.9675	4149	svc_count_vectorizer
7	0.9723	4149	lr_count_vectorizer
8	0.9454	4149	rf_count_vectorizer
9	0.9755	4149	svc_tfidf_vectorizer
10	0.947	4149	lr_tfidf_vectorizer
11	0.9378	4149	rf_tfidf_vectorizer
